# code	word	layer	freq_score
# generated by wubi-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin wubi-build-weights
adax	苦药	1	9100
aday	葫芦	1	22325
adb	苊	3	0
adbb	苊	0	0
adbn	苦了	1	27164
adbt	基隆	1	22519
adbv	期限	1	26989
adc	茇	3	0
adcb	𦮹	0	0
adcd	苦参	1	6958
adce	若能	1	23166
adcl	苦劝	1	0
adcn	戎马	1	17117
adcp	𦳺	0	0
adcu	苃	0	0
adcu	茇	0	0
adcw	苦难	1	25441
adcy	欺骗	1	29075
add	弎	3	0
add	𠤳	0	0
add	𢀚	0	0
addb	基础	1	34324
addd	䔸	0	0
addd	藞	0	0
adde	若有	1	26131
addf	欺压	1	18119
addf	𦯰	0	0
addg	基石	1	23824
addh	藏在	1	29139
addj	若非	1	19960
addm	甚而	1	14117
addn	茂盛	1	19708
addr	莽原	1	8490
adds	蒙太奇	1	13902
addt	匪帮	1	15253
ade	戎	3	22615
adec	基肥	1	11561
adef	䒴	0	0
adef	葫	0	19836
adej	苦胆	1	6727
adej	𦯞	0	0
adep	甚受	1	11561
adeq	藏胞	1	0
adet	𧀥	0	0
adeu	萇	0	18553
adf	苦	3	33396
adfa	劳而无功	1	7380
adfa	莾	0	10326
adfa	𦸳	0	0
adfb	基地	1	33361
adfd	若需	1	15675
adfe	䔚	0	0
adfe	莀	0	0
adff	英雄无用武之地	1	0
adff	蓐	0	8813
adfg	若干	1	27265
adfg	苦干	1	24220
adfg	𦱯	0	0
adfh	基址	1	13953
adfh	𦷔	0	0
adfi	萘	0	12006
adfj	期刊	1	25453
adfj	𦬠	0	0
adfn	荂	0	9378
adfp	敬而远之	1	15096
adfq	若无	1	20434
adft	期考	1	14180
adfw	若夫	1	14052
adg	葳	3	15640
adga	巧夺天工	1	14775
adga	𦰃	0	0
adgc	甚至	1	38148
adge	藏青	1	11082
adgf	基于	1	29145
adgf	甚于	1	18092
adgf	苦于	1	17890
adgg	其一	1	26113
adgh	勘正	1	0
adgi	若不	1	26205
adgk	惹事	1	21450
adgk	𦰅	0	0
adgm	若再	1	18130
adgn	䓐	0	0
adgn	𦽫	0	0
adgo	惹来	1	15601
adgq	苦熬	1	9730
