loaded 1845 rows across 6 chars

=== verdict tally (1845 rows) ===
  UNCERTAIN         :  1579  ( 85.6%)
  LIKELY_SPURIOUS   :   133  (  7.2%)
  SPURIOUS          :   117  (  6.3%)
  LEGITIMATE        :    16  (  0.9%)

=== verdict by source char ===
  地: {'LEGITIMATE': 8, 'UNCERTAIN': 573, 'SPURIOUS': 37, 'LIKELY_SPURIOUS': 85}
  得: {'UNCERTAIN': 626, 'LEGITIMATE': 1, 'LIKELY_SPURIOUS': 23}
  的: {'UNCERTAIN': 101, 'SPURIOUS': 80, 'LIKELY_SPURIOUS': 7}
  了: {'LEGITIMATE': 4, 'UNCERTAIN': 222, 'LIKELY_SPURIOUS': 18}
  谁: {'LEGITIMATE': 2, 'UNCERTAIN': 57}
  那: {'LEGITIMATE': 1}
char	wrong_code	word	freq	primary	verdict	note
地	xiande	县地	11516	xiandi	UNCERTAIN	single-char prefix '县' + 助词 (likely legitimate N+助词,但 ambiguous)
地	xuanzede	选择地	11458	xuanzedi	UNCERTAIN	2-char prefix '选择' + 助词 (V+助词 or 2-char N+助词)
地	dekuo	地扩	11431	dikuo	UNCERTAIN	default
地	manhuangzhide	蛮荒之地	11377	manhuangzhidi	LIKELY_SPURIOUS	>=3-char prefix '蛮荒之' + 助词 (long phrase + 助词)
地	rongshenzhide	容身之地	11362	rongshenzhidi	LIKELY_SPURIOUS	>=3-char prefix '容身之' + 助词 (long phrase + 助词)
地	shende	慎地	11350	shendi	UNCERTAIN	single-char prefix '慎' + 助词 (likely legitimate N+助词,但 ambiguous)
地	juede	掘地	11316	juedi	UNCERTAIN	single-char prefix '掘' + 助词 (likely legitimate N+助词,但 ambiguous)
地	huhude	呼呼地	11304	huhudi	SPURIOUS	重叠副词 '呼呼' + 助词
地	jude	局地	11302	judi	UNCERTAIN	single-char prefix '局' + 助词 (likely legitimate N+助词,但 ambiguous)
地	shishide	适时地	11197	shishidi	UNCERTAIN	2-char prefix '适时' + 助词 (V+助词 or 2-char N+助词)
地	chunde	春地	11158	chundi	UNCERTAIN	single-char prefix '春' + 助词 (likely legitimate N+助词,但 ambiguous)
地	chufade	出发地	11139	chufadi	UNCERTAIN	2-char prefix '出发' + 助词 (V+助词 or 2-char N+助词)
地	laolaode	牢牢地	11109	laolaodi	SPURIOUS	重叠副词 '牢牢' + 助词
