delete_code	word	freq	why
chenyangdui	沈阳队	3094	沈:shen/chen del-wrong b2
chenyangjichuang	沈阳机床	3094	沈:shen/chen del-wrong b2
tanline	弹力呢	3094	呢:ne/ni del-prim b2
daza	沓杂	3094	沓:da/ta del-prim b2
gexue	各削	3094	削:xue/xiao del-prim b2
makune	马裤呢	3094	呢:ne/ni del-prim b2
qiyan	凄咽	3094	咽:yan/ye del-prim b2
rejiao	热觉	3094	觉:jue/jiao del-wrong b2
shanbo	山卜	3094	卜:bo/bu del-prim b2
xianzhihoujiao	先知后觉	3094	觉:jue/jiao del-wrong b2
xuebo	削波	3094	削:xue/xiao del-prim b2
yezhu	咽住	3094	咽:yan/ye del-wrong b2
