delete_code	word	freq	why
daliangchong	大量重	6820	del_wrong
xiaoyuanhang	校园行	6722	del_wrong
zhengchang	争长	6722	del_wrong
chongcai	重财	6711	del_wrong
jiajuxing	家具行	6675	del_prim
zhangweijin	长围巾	6655	del_prim
manhang	蛮行	6568	del_wrong
zhongxuexiaochang	中学校长	6560	del_wrong
zhuxingsaomiao	逐行扫描	6551	del_prim
fenjuchang	分局长	6548	del_wrong
zhouchong	轴重	6493	del_wrong
zhangxiang	长巷	6463	del_prim
zhitianxinchang	织田信长	6455	del_wrong
zhangding	长钉	6442	del_prim
jiliangchong	几两重	6442	del_wrong
dianyuchang	典狱长	6403	del_wrong
zhanggu	长骨	6394	del_prim
huanhuanerhang	缓缓而行	6380	del_wrong
suhang	素行	6359	del_wrong
chonggang	重钢	6312	del_wrong
hangdian	行颠	6295	del_wrong
lianzhang	链长	6295	del_prim
shujichang	书记长	6242	del_wrong
tingchang	艇长	6242	del_wrong
cizhang	词长	6235	del_prim
hangtu	行屠	6228	del_wrong
hangyifu	行一夫	6216	del_wrong
zuichong	罪重	6209	del_wrong
xihang	细行	6204	del_wrong
chongqian	重迁	6117	del_wrong
gujizhongshi	故技重施	6117	del_prim
tingchang	廷长	6117	del_wrong
yihang	懿行	6117	del_wrong
hanghong	行洪	6105	del_wrong
bujiuchong	不久重	6032	del_wrong
zonghang	纵行	5994	del_wrong
zhangtongwazi	长筒袜子	5930	del_prim
laladuichang	拉拉队长	5930	del_wrong
xiahang	侠行	5930	del_wrong
zaohang	糟行	5930	del_wrong
canyichang	参议长	5899	del_wrong
xingxiangliang	行向量	5899	del_prim
xiaozhangshan	小长山	5895	del_prim
yijiazhichang	一家之长	5895	del_wrong
yuchang	愈长	5895	del_wrong
xiaoxihang	小西行	5835	del_wrong
zhixingchang	执行长	5663	del_wrong
jiehang	节行	5633	del_wrong
louxing	漏行	5633	del_prim
chongshangzhuyi	重商主义	5577	del_wrong
piaohang	漂行	5577	del_wrong
fuwuqijinhang	服务器进行	5527	del_wrong
yixing	移行	5527	del_prim
lvshixing	律师行	5433	del_prim
pubiantuihang	普遍推行	5393	del_wrong
chonglizi	重离子	5311	del_wrong
benhang	奔行	5286	del_wrong
buchangyizhi	不长一智	5286	del_wrong
zhangjiaoji	长焦机	5286	del_prim
hangbugaixing	行不改姓	5286	del_wrong
jiazhangche	加长车	5286	del_prim
jiancaixing	建材行	5286	del_prim
kuaduzhang	跨度长	5286	del_prim
liujinchong	六斤重	5286	del_wrong
longchongtuichu	隆重推出	5286	del_wrong
nvjiachang	女家长	5286	del_wrong
chongfu	重赋	5167	del_wrong
weihang	尾行	5167	del_wrong
zhangningxian	长宁县	5163	del_prim
xingzun	行尊	5163	del_prim
nanzhangqu	南长区	5163	del_prim
zhonghua	重划	5073	del_prim
lichong	粒重	5073	del_wrong
chongshixiao	重实效	5072	del_wrong
jichong	畸重	5072	del_wrong
baichong	百重	4842	del_wrong
chongbingchanshen	重病缠身	4842	del_wrong
chongyoujiudi	重游旧地	4842	del_wrong
puhang	铺行	4842	del_wrong
zhangqugunqiu	长曲棍球	4804	del_prim
zhangwu	长屋	4804	del_prim
zhongfang	重访	4804	del_prim
zhongkaosheng	重考生	4804	del_prim
shiyizhuhang	食衣住行	4804	del_wrong
zhangcixiaqu	长此下去	4747	del_prim
zhangxiao	长销	4747	del_prim
zhanggeshi	长葛市	4734	del_prim
chonghuagongye	重化工业	4734	del_wrong
zhongjie	重接	4734	del_prim
xingku	行库	4734	del_prim
zhangwuxian	长武县	4652	del_prim
zhonghongzhaji	重轰炸机	4652	del_prim
caihang	采行	4640	del_wrong
kaohang	靠行	4640	del_wrong
tianzhangxian	天长县	4640	del_prim
zhangxujing	长须鲸	4495	del_prim
shiliuxing	十六行	4495	del_prim
shuxing	竖行	4495	del_prim
chongxingfan	重刑犯	4480	del_wrong
yinhang	淫行	4480	del_wrong
baoguanxing	报关行	4422	del_prim
zhangbixia	长臂虾	4422	del_prim
zhangbixia	长臂虾	4422	del_prim
changsaorumu	长嫂如母	4422	del_wrong
zhangzhixian	长治县	4422	del_prim
zhongji	重计	4422	del_prim
chunshengxiachang	春生夏长	4422	del_wrong
dazixing	打字行	4422	del_prim
gangchang	岗长	4422	del_wrong
hanglang	行狼	4422	del_wrong
xingtiangong	行天宫	4422	del_prim
xingwaihua	行外话	4422	del_prim
xingyouhanggui	行有行规	4422	del_prim
lingzhang	零长	4422	del_prim
qingzhuangjianhang	轻装简行	4422	del_wrong
tishixing	提示行	4422	del_prim
xiehang	蟹行	4422	del_wrong
yiliangchong	一两重	4422	del_wrong
zhongshiguji	重施故技	4277	del_prim
chongwenqingwu	重文轻武	4277	del_wrong
hangmolilu	行万里路	4277	del_wrong
hangwanlilu	行万里路	4277	del_wrong
xingneirenshi	行内人士	4277	del_prim
shaoliangchong	少量重	4277	del_wrong
zhangdun	长吨	4193	del_prim
chongshi	重石	4193	del_wrong
xingwei	行尾	4193	del_prim
jiaoyutingchang	教育厅长	4193	del_wrong
duoyichong	多一重	4131	del_wrong
hangshu	行树	4131	del_wrong
jinhangpaimai	进行拍卖	4131	del_wrong
yunhang	允行	4131	del_wrong
zhangjing	长径	3861	del_prim
chuanxingjiekou	串行接口	3861	del_prim
cuihuazhongzheng	催化重整	3861	del_prim
fujianchachang	副检察长	3861	del_wrong
hangzhiyounian	行之有年	3861	del_wrong
jihuiyouhang	集会游行	3861	del_wrong
chongjixie	重机械	3831	del_wrong
beizhangshan	北长山	3686	del_prim
zhangqingyoutian	长庆油田	3686	del_prim
chongyouyi	重友谊	3686	del_wrong
hangchi	行痴	3686	del_wrong
suoxing	缩行	3686	del_prim
zhangdaoxian	长岛县	3468	del_prim
chongxishou	重吸收	3468	del_wrong
guanghangcha	光行差	3468	del_wrong
guanghangchai	光行差	3468	del_wrong
jianyuchang	监狱长	3468	del_wrong
huihang	秽行	3135	del_wrong
beihang	辈行	3094	del_wrong
zhangcizu	长词组	3094	del_prim
zhangdiao	长钓	3094	del_prim
zhangji	长畸	3094	del_prim
zhangjinggui	长颈龟	3094	del_prim
zhangweihou	长尾猴	3094	del_prim
zhangzhen	长枕	3094	del_prim
chonggui	重轨	3094	del_wrong
chongqiao	重敲	3094	del_wrong
zhongzhengqigu	重整齐鼓	3094	del_prim
chongzi	重资	3094	del_wrong
chuishibanchang	炊事班长	3094	del_wrong
diaoduchang	调度长	3094	del_wrong
haojixing	好几行	3094	del_prim
yueqixing	乐器行	3094	del_prim
