delete_code	word	freq	why
dajiaosi	大觉寺	10431	觉:jue/jiao del-wrong b2
zhengzhiji	政治系	10431	系:xi/ji del-wrong b2
jiaojuan	胶圈	10350	圈:quan/juan del-wrong b2
liujuan	六圈	10347	圈:quan/juan del-wrong b2
xuebao	削薄	10331	削:xue/xiao del-prim b2
falvji	法律系	10314	系:xi/ji del-wrong b2
geji	各系	10287	系:xi/ji del-wrong b2
jiaoguo	觉果	10249	觉:jue/jiao del-wrong b2
liujuan	溜圈	10249	圈:quan/juan del-wrong b2
biwei	辟为	10243	辟:pi/bi del-wrong b2
guiji	桂系	10217	系:xi/ji del-wrong b2
zhengjuan	整圈	10217	圈:quan/juan del-wrong b2
shengwuji	生物系	10191	系:xi/ji del-wrong b2
bosuanzi	卜算子	10116	卜:bo/bu del-prim b2
zhaojiaosi	昭觉寺	10116	觉:jue/jiao del-wrong b2
pixue	皮削	10109	削:xue/xiao del-prim b2
zhengni	蒸呢	10032	呢:ne/ni del-wrong b2
jingbohu	镜泊湖	10026	泊:po/bo del-wrong b2
yangcan	洋参	10025	参:can/shen del-prim b2
kouye	口咽	10019	咽:yan/ye del-wrong b2
liaochenzhanyi	辽沈战役	10018	沈:shen/chen del-wrong b2
jingchen	京沈	9946	沈:shen/chen del-wrong b2
bencan	本参	9940	参:can/shen del-prim b2
yiliaoji	医疗系	9896	系:xi/ji del-wrong b2
jingjijuan	经济圈	9868	圈:quan/juan del-wrong b2
juanceng	圈层	9849	圈:quan/juan del-wrong b2
chongjuan	虫圈	9795	圈:quan/juan del-wrong b2
diancha	点刹	9795	刹:sha/cha del-wrong b2
lengjuan	冷圈	9795	圈:quan/juan del-wrong b2
xuesi	削死	9795	削:xue/xiao del-prim b2
jingji	晶系	9794	系:xi/ji del-wrong b2
jinrongji	金融系	9752	系:xi/ji del-wrong b2
yebu	咽部	9741	咽:yan/ye del-wrong b2
xiaoji	小系	9725	系:xi/ji del-wrong b2
jisuanjiji	计算机系	9723	系:xi/ji del-wrong b2
xiaohuaji	消化系	9641	系:xi/ji del-wrong b2
zhongjuan	中圈	9621	圈:quan/juan del-wrong b2
huijuan	回圈	9617	圈:quan/juan del-wrong b2
qijuan	七圈	9578	圈:quan/juan del-wrong b2
shuji	书系	9502	系:xi/ji del-wrong b2
weishengji	卫生系	9496	系:xi/ji del-wrong b2
jianzhuji	建筑系	9471	系:xi/ji del-wrong b2
lishiji	历史系	9452	系:xi/ji del-wrong b2
shenzhongliangyuan	参众两院	9442	参:can/shen del-wrong b2
shuijuan	水圈	9434	圈:quan/juan del-wrong b2
yibosheng	易卜生	9434	卜:bo/bu del-prim b2
qianxue	欠削	9392	削:xue/xiao del-prim b2
xuebi	削笔	9392	削:xue/xiao del-prim b2
kubai	库柏	9389	柏:bai/bo del-prim b2
shuxueji	数学系	9359	系:xi/ji del-wrong b2
baohujuan	保护圈	9349	圈:quan/juan del-wrong b2
quanshe	圈舍	9346	圈:quan/juan del-prim b2
nemao	呢帽	9334	呢:ne/ni del-prim b2
raojuanjuan	绕圈圈	9242	圈:quan/juan del-wrong b2
raojuanquan	绕圈圈	9242	圈:quan/juan del-wrong b2
raoquanjuan	绕圈圈	9242	圈:quan/juan del-wrong b2
shangjuan	上圈	9242	圈:quan/juan del-wrong b2
potou	泊头	9112	泊:po/bo del-prim b2
yepo	夜泊	9094	泊:po/bo del-prim b2
shendao	参道	9084	参:can/shen del-wrong b2
boyigua	卜一卦	9083	卜:bo/bu del-prim b2
dazhongne	大众呢	9083	呢:ne/ni del-prim b2
diecha	碟刹	9083	刹:sha/cha del-wrong b2
shijijuan	十几圈	9083	圈:quan/juan del-wrong b2
zhongji	仲系	9083	系:xi/ji del-wrong b2
baiji	柏忌	9072	柏:bai/bo del-prim b2
danji	单系	9045	系:xi/ji del-wrong b2
pangji	旁系	9037	系:xi/ji del-wrong b2
juanhuan	圈环	9012	圈:quan/juan del-wrong b2
waiwenji	外文系	8982	系:xi/ji del-wrong b2
jiaojuan	椒圈	8942	圈:quan/juan del-wrong b2
shujuan	数圈	8942	圈:quan/juan del-wrong b2
tasha	塔刹	8927	刹:sha/cha del-prim b2
mianbaojuan	面包圈	8916	圈:quan/juan del-wrong b2
bojuan	脖圈	8913	圈:quan/juan del-wrong b2
xiejiaozai	谢觉哉	8873	觉:jue/jiao del-wrong b2
shenbao	参保	8841	参:can/shen del-wrong b2
zhuti	筑堤	8822	堤:di/ti del-wrong b2
xiangjuan	像圈	8812	圈:quan/juan del-wrong b2
chikangyecai	吃糠咽菜	8731	咽:yan/ye del-wrong b2
daocha	倒刹	8731	刹:sha/cha del-wrong b2
henduojuan	很多圈	8731	圈:quan/juan del-wrong b2
xuewei	削微	8731	削:xue/xiao del-prim b2
yujuan	娱圈	8731	圈:quan/juan del-wrong b2
tongbolu	桐柏路	8692	柏:bai/bo del-wrong b2
fengji	奉系	8668	系:xi/ji del-wrong b2
diliji	地理系	8634	系:xi/ji del-wrong b2
bingcan	兵参	8629	参:can/shen del-prim b2
yanshijuan	岩石圈	8620	圈:quan/juan del-wrong b2
jiaozhe	觉者	8604	觉:jue/jiao del-wrong b2
chenyangbeizhan	沈阳北站	8535	沈:shen/chen del-wrong b2
nanye	难咽	8535	咽:yan/ye del-wrong b2
lianji	连系	8517	系:xi/ji del-wrong b2
jiaomin	觉民	8472	觉:jue/jiao del-wrong b2
huojuan	火圈	8358	圈:quan/juan del-wrong b2
fengjuan	蜂圈	8323	圈:quan/juan del-wrong b2
xingchen	姓沈	8315	沈:shen/chen del-wrong b2
jingjiji	经济系	8296	系:xi/ji del-wrong b2
chenqiuxian	沈丘县	8267	沈:shen/chen del-wrong b2
posong	泊松	8135	泊:po/bo del-prim b2
shenjin	沈浸	8111	沈:shen/chen del-prim b2
agubai	阿古柏	8104	柏:bai/bo del-prim b2
yetong	咽痛	8097	咽:yan/ye del-wrong b2
baofengjuan	暴风圈	8091	圈:quan/juan del-wrong b2
chendao	沈导	8091	沈:shen/chen del-wrong b2
chifani	吃法呢	8091	呢:ne/ni del-wrong b2
jijuan	姬圈	8091	圈:quan/juan del-wrong b2
liaocan	辽参	8091	参:can/shen del-prim b2
liujuan	遛圈	8091	圈:quan/juan del-wrong b2
tijiao	体觉	8067	觉:jue/jiao del-wrong b2
jiaocha	觉查	8058	觉:jue/jiao del-wrong b2
yunji	云系	8049	系:xi/ji del-wrong b2
zuqiujuan	足球圈	8049	圈:quan/juan del-wrong b2
disanjuan	第三圈	8032	圈:quan/juan del-wrong b2
nipoerren	尼泊尔人	8032	泊:po/bo del-prim b2
liboke	李卜克	7960	卜:bo/bu del-prim b2
luobu	罗卜	7959	卜:bo/bu del-wrong b2
jixieji	机械系	7877	系:xi/ji del-wrong b2
yishuji	艺术系	7877	系:xi/ji del-wrong b2
chenhequ	沈河区	7836	沈:shen/chen del-wrong b2
hulajuan	呼拉圈	7836	圈:quan/juan del-wrong b2
