# pinyin	word	freq_score
# generated by pinyin-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin pinyin-build-weights
ai	㦈	0
ai	㱯	0
ai	㶼	0
ai	㾢	0
ai	㿄	0
ai	䀳	0
ai	䅬	0
ai	䑂	0
ai	䔽	0
ai	䝽	0
ai	䠹	0
ai	䨠	0
ai	䶣	0
ai	伌	0
ai	僾	0
ai	凒	0
ai	叆	8686
ai	哀	31762
ai	哎	33541
ai	唉	32895
ai	啀	0
ai	嗌	14477
ai	嗳	18091
ai	嘊	0
ai	噯	4589
ai	埃	37798
ai	塧	0
ai	壒	0
ai	娭	10017
ai	娾	0
ai	嫒	6723
ai	嬡	9178
ai	愛	39818
ai	懓	0
ai	懝	0
ai	挨	30788
ai	捱	24422
ai	敱	0
ai	敳	5791
ai	昹	0
ai	暧	17626
ai	曖	18199
ai	欸	19153
ai	毐	19067
ai	溰	0
ai	溾	0
ai	濭	0
ai	爱	48283
ai	瑷	13768
ai	璦	9619
ai	癌	32525
ai	皑	17806
ai	皚	13610
ai	皧	0
ai	瞹	6723
ai	矮	33286
ai	砹	22027
ai	硋	0
ai	碍	31439
ai	礙	31718
ai	艾	38106
ai	蔼	17438
ai	薆	0
ai	藹	17307
ai	譪	4589
ai	譺	0
ai	躷	0
ai	銰	0
ai	鎄	0
ai	鑀	20203
ai	锿	10715
ai	閡	18509
ai	隘	25291
ai	霭	17307
ai	靄	18035
ai	靉	7485
ai	餲	0
ai	馤	0
ai	騃	4589
ai	鱫	0
ai	鴱	0
ai	𠊎	0
ai	𠳳	0
ai	𡁍	0
ai	𡉓	0
ai	𡟓	0
ai	𡰽	0
ai	𡶃	0
ai	𢟪	0
ai	𢟰	0
ai	𢣏	0
ai	𢣕	0
ai	𢰇	0
ai	𣉼	0
ai	𣋞	0
ai	𣜬	0
ai	𣝅	0
ai	𣤃	0
ai	𣩱	0
ai	𤢵	0
ai	𤸖	0
ai	𤸳	0
ai	𤻢	0
ai	𥡽	0
ai	𥤦	0
ai	𥴨	0
ai	𦗍	0
ai	𦗐	0
ai	𦥂	0
ai	𦥈	0
ai	𦩴	0
ai	𧏹	0
ai	𧓁	0
ai	𧡋	0
ai	𧪚	0
ai	𧰿	0
ai	𧵨	0
ai	𨶂	0
ai	𩈋	0
ai	𩪂	0
ai	𩫇	0
ai	𩮖	0
ai	𪇈	0
ai	𪕭	0
ai	𫂖	0
ai	𫉁	0
ai	𫘤	0
ai	𫣊	0
ai	𬤩	0
ai	𬺃	0
ai	𭏦	0
ai	𭞄	0
ai	𮩝	0
ai	𰛥	0
ai	𰾭	0
ai	𱉪	0
aiahuazhou	爱阿华州	0
aiai	哀哀	9178
aiai	皑皑	15993
aiai	矮矮	8686
aiai	艾艾	7485
aiai	蔼蔼	4589
aiai	霭霭	5791
aiaide	矮矮的	8129
aiaidi	矮矮的	8129
aiaidundun	矮矮墩墩	0
aiaifeifei	矮矮肥肥	0
aiaifumu	哀哀父母	0
aiaigu	爱爱姑	0
aiaijiao	唉唉叫	0
aiaipangpang	矮矮胖胖	0
aiaiqieqie	哀哀切切	0
aiaishishi	矮矮实实	0
aiaitai	爱爱太	0
aiaiyang	爱爱仰	0
aiaiyi	爱爱医	0
aiaiyujue	哀哀欲绝	0
aian	爱安	2895
aiaoni	爱奥尼	14066
aiaowa	艾奥瓦	13610
aiaowazhou	艾奥瓦州	10715
aiba	埃巴	5791
aibaidou	艾拜都	2895
aibaidu	艾拜都	2895
aibake	艾巴克	0
aibanjie	矮半截	0
aibanzi	挨板子	5791
aibeier	埃贝尔	2895
aibeier	艾贝尔	16505
aibi	艾比	27312
aibian	挨边	0
aibian	癌变	14606
aibidan	爱庇丹	0
aibieliku	爱别离苦	0
aibihu	艾比湖	0
aibing	癌病	14606
aibingbisheng	哀兵必胜	4589
aibinhaosi	艾宾浩斯	9619
aibobo	艾卜伯	0
aibofeng	艾卜峰	0
aiboluo	埃波罗	0
aibota	艾伯塔	14606
aibotasheng	艾伯塔省	12300
aibote	艾伯特	26336
aibote	艾博特	13446
aibotehu	艾伯特湖	4589
aibowang	爱波网	0
aiboye	艾卜耶	0
aibuai	埃布埃	0
aibuai	爱不爱	0
aibubo	艾卜伯	0
aibuer	埃布尔	18655
aibufeng	艾卜峰	0
aibulamusi	艾布拉姆斯	10715
aibuluo	埃布罗	6723
aibuluohe	埃布罗河	6723
aiburenshi	爱不忍释	0
aibushi	爱不释	6723
aibushishou	爱不释手	16815
aibuye	艾卜耶	0
aicai	爱才	14208
aicai	爱财	9178
aicairuke	爱才如渴	0
aicairuming	爱才如命	0
aicairuming	爱财如命	0
aicairuoke	爱才若渴	0
aicao	艾草	14731
aichangcunduan	哀肠寸断	0
aichangrujia	爱厂如家	0
aichao	爱巢	0
aiche	爱车	12074
aichekuang	爱车狂	0
aichemi	爱车迷	0
aicheng	爱称	15513
aichengchou	爱成仇	0
aichenzhi	爱臣知	0
aicheren	爱车人	0
aichigui	爱吃鬼	0
aichiyu	爱吃鱼	0
aichong	毐虫	0
aichong	爱虫	0
aichong	爱重	4589
aichongbang	爱重邦	0
aichou	哀愁	14852
aichou	爱抽	5791
aichouyan	爱抽烟	5791
aichu	爱畜	0
aichufengtou	爱出风头	5791
aichunrong	艾春荣	0
aichuqing	爱楚卿	0
aici	哀辞	4589
aici	挨次	0
aicongqi	艾从其	0
aicuo	爱错	0
aida	埃达	8129
aida	挨打	25192
aida	捱打	5791
aida	爱达	14477
aidabuli	爱答不理	0
aidahe	爱达荷	12718
aidahezhou	爱达荷州	18459
aidai	爱带	2895
aidai	爱戴	25262
aidai	靉靆	0
aidaijing	艾大惊	0
aidainu	艾大怒	2895
aidajing	艾大惊	0
aidake	埃达克	0
aidalu	埃达鲁	0
aidang	爱党	15808
aidanu	艾大怒	2895
aidao	哀悼	27986
aidao	挨刀	0
aidao	挨到	4589
aidao	捱到	10380
aidaodou	矮刀豆	0
aidaori	哀悼日	11024
aidaoshenchu	爱到深处	0
aidaozhe	哀悼者	10380
aidaozhiyi	哀悼之意	4589
aidashouma	挨打受骂	0
aide	埃德	25693
aide	爱德	25566
aide	矮得	5791
aide	艾地	8686
aidebo	埃德伯	0
aidecha	矮地茶	0
aideer	埃德尔	4589
aideerman	埃德尔曼	4589
aidege	艾德格	2895
aidehua	爱得华	0
aidehua	爱德华	30180
aidehuaduo	爱德华多	11835
aidehuazi	爱德华兹	13610
aidei	矮得	5791
aideihua	爱得华	0
aideile	爱得乐	0
aideiyue	爱得乐	0
aidejia	埃德加	20169
aidele	爱得乐	0
aideli	艾德礼	8129
aidelin	艾德林	4589
aidemeng	埃德蒙	25222
aidemeng	爱德蒙	20491
aidemeng	艾德蒙	15902
aidemengdun	埃德蒙顿	16505
aideng	矮凳	0
aidengbao	爱登堡	0
aidesai	埃德赛	0
aidewen	埃德温	13920
aidewo	艾德沃	0
aideyue	爱得乐	0
aidi	哀帝	19361
aidi	艾地	8686
aidi	艾迪	29216
aidiao	哀吊	0
aidiaodanbai	癌调蛋白	0
aidicha	矮地茶	0
aidide	艾迪德	0
aidier	爱迪尔	0
aidiernei	埃迪尔内	5791
aidingbao	爱丁堡	22912
aidingbaodaixue	爱丁堡大学	13920
aidingbaodaxue	爱丁堡大学	13920
aidingdun	爱丁顿	0
aidinghu	艾丁湖	0
aidingzui	爱顶嘴	0
aidisen	艾迪森	5791
aidisheng	爱迪生	22296
aidiwo	埃迪沃	0
aidong	挨冻	15993
aidong	爱动	2895
aidongganhuo	爱动肝火	0
aidonggua	矮冬瓜	4589
aidongshoue	挨冻受饿	0
aidou	挨斗	7485
aiduan	矮短	5791
aidundun	矮墩墩	8129
aiduo	爱多	13920
aiduobei	爱多杯	0
aie	挨饿	25252
aie	捱饿	0
aiefenming	爱恶分明	0
aieraisi	埃尔埃斯	0
aierbakan	埃尔巴坎	0
aierbasang	爱尔巴桑	0
aierbilei	埃尔比勒	8686
aierbo	埃尔伯	5791
aierbushang	哀而不伤	0
aierde	埃尔德	11835
aierdun	埃尔顿	14477
aierdun	艾尔顿	11582
aierfensi	艾尔芬斯	0
aierfu	埃尔夫	15304
aierfuleide	艾尔弗雷德	11024
aierfusi	埃尔夫斯	0
aierfute	埃尔富特	0
aierfute	爱尔福特	0
aiergainaikong	埃尔盖奈孔	0
aierha	埃尔哈	0
aierhu	埃尔湖	0
aierhu	艾尔湖	0
aierji	埃尔基	0
aierjia	埃尔加	0
aierjin	埃尔金	12912
aierkan	埃尔坎	0
aierkana	埃尔卡纳	0
aierlan	爱尔兰	33309
aierlandao	爱尔兰岛	9178
aierlandui	爱尔兰队	0
aierlang	埃尔朗	0
aierlangen	埃尔兰根	0
aierlanggen	埃尔朗根	0
aierlangong	爱尔兰共	12074
aierlangongheguo	爱尔兰共和国	13768
aierlangonghejun	爱尔兰共和军	7485
aierlangonghuoguo	爱尔兰共和国	13768
aierlangonghuojun	爱尔兰共和军	7485
aierlanren	爱尔兰人	18750
aierlanyu	爱尔兰语	12718
