a	あ
tadachini	ただちに
tadashi	ただし
tadayo	ただよ
tae	たえ
taga	たが
tagau	たがう
tagaya	たがや
tai	たい
taira	たいら
taka	たか
takadono	たかどの
takara	たから
take	たけ
takeshi	たけし
taki	たき
takigi	たきぎ
tako	たこ
taku	たく
takuma	たくま
takumi	たくみ
takura	たくら
takuwa	たくわ
tama	たま
tamago	たまご
tamari	たまり
tamashii	たましい
tamawa	たまわ
tamaya	たまや
tame	ため
tameshi	ためし
tamo	たも
tamuro	たむろ
tan	たん
tana	たな
tanagokoro	たなごころ
tane	たね
tani	たに
tano	たの
tanomu	たのむ
tanoshi	たのし
tao	たお
tari	たり
taru	たる
tashi	たし
tasu	たす
tasuke	たすけ
tasukeru	たすける
tata	たた
tataka	たたか
tatami	たたみ
tate	たて
tatematsu	たてまつ
tato	たと
tatsu	たつ
tatsumi	たつみ
tatto	たっと
tawamu	たわむ
tawara	たわら
tayori	たより
tayoru	たよる
tayu	たゆ
tazu	たず
tazusa	たずさ
te	て
techi	てち
tei	てい
teki	てき
ten	てん
tenohira	てのひら
tera	てら
tesuri	てすり
tetsu	てつ
to	と
tobari	とばり
tobi	とび
tobo	とぼ
toboso	とぼそ
tobura	とぶら
tochi	とち
todo	とど
todokoo	とどこお
todoro	とどろ
toga	とが
toge	とげ
togi	とぎ
toi	とい
toishi	といし
tokari	とかり
toki	とき
toku	とく
tomi	とみ
tomo	とも
tomoe	ともえ
tomogara	ともがら
tomona	ともな
tomoni	ともに
tomoshibi	ともしび
tomura	とむら
ton	とん
tona	とな
tonari	となり
tonbi	とんび
too	とお
tooi	とおい
tora	とら
tori	とり
toride	とりで
toriko	とりこ
toriku	とりく
tose	とせ
toshi	とし
totono	ととの
totsu	とつ
tou	とう
touge	とうげ
touto	とうと
tsu	つ
tsuba	つば
tsubaki	つばき
tsubakura	つばくら
tsubakuro	つばくろ
tsubame	つばめ
tsubo	つぼ
tsubomi	つぼみ
tsubu	つぶ
tsubusa	つぶさ
tsuchi	つち
tsuchika	つちか
tsuchikure	つちくれ
tsuchinoe	つちのえ
tsuchinoto	つちのと
tsudu	つづ
tsudumayaka	つづまやか
tsudumi	つづみ
tsudura	つづら
tsuduri	つづり
tsue	つえ
tsuge	つげ
tsugi	つぎ
tsugomori	つごもり
tsui	つい
tsuiba	ついば
tsuide	ついで
tsuini	ついに
tsuitachi	ついたち
tsuji	つじ
tsuka	つか
tsukasado	つかさど
tsuki	つき
tsuku	つく
tsukuda	つくだ
tsukuro	つくろ
tsuma	つま
tsumabi	つまび
tsumabiraka	つまびらか
tsumazu	つまず
tsumo	つも
tsumu	つむ
tsumugi	つむぎ
tsuna	つな
tsunagu	つなぐ
tsune	つね
tsuneni	つねに
tsuno	つの
tsura	つら
tsuranu	つらぬ
tsuru	つる
tsurugi	つるぎ
tsuta	つた
tsutana	つたな
tsute	つて
tsuto	つと
tsutsu	つつ
tsutsumi	つつみ
tsutsushi	つつし
tsutsushimu	つつしむ
tsuya	つや
tsuyo	つよ
tsuyu	つゆ
u	う
uba	うば
uchi	うち
uchibari	うちばり
udewa	うでわ
uga	うが
ugai	うがい
ugo	うご
uji	うじ
ukaga	うかが
uma	うま
umaya	うまや
ume	うめ
umi	うみ
un	うん
unaga	うなが
unaji	うなじ
une	うね
ura	うら
urami	うらみ
urana	うらな
uranai	うらない
uraya	うらや
ure	うれ
urei	うれい
uri	うり
uroko	うろこ
uru	うる
uruo	うるお
urusa	うるさ
urushi	うるし
uruu	うるう
uruwa	うるわ
ushi	うし
ushio	うしお
usu	うす
usudu	うすづ
usuginu	うすぎぬ
usumono	うすもの
uta	うた
utage	うたげ
utata	うたた
uto	うと
utsu	うつ
utsubari	うつばり
utsuku	うつく
utsuwa	うつわ
uwagusuri	うわぐすり
uwasa	うわさ
uyama	うやま
uyauya	うやうや
uzu	うず
uzumaki	うずまき
uzutaka	うずたか
wa	わ
wabi	わび
wai	わい
wakare	わかれ
wake	わけ
waki	わき
wakibasa	わきばさ
waku	わく
wame	わめ
wan	わん
wara	わら
warabe	わらべ
warabi	わらび
warawa	わらわ
wari	わり
waru	わる
washi	わし
wata	わた
wataru	わたる
watsu	わつ
waza	わざ
wazaogi	わざおぎ
wazawa	わざわ
wazawai	わざわい
wazu	わず
wazura	わずら
wo	を
ya	や
yabu	やぶ
yagura	やぐら
yahazu	やはず
yaiba	やいば
yaito	やいと
yakai	やかい
yakama	やかま
yakara	やから
yakigari	やきがり
yaku	やく
yakusho	やくしょ
yamaguwa	やまぐわ
yamanashi	やまなし
yamanire	やまにれ
yamato	やまと
yami	やみ
yana	やな
yanagi	やなぎ
yarai	やらい
yari	やり
yasa	やさ
yase	やせ
yashi	やし
yashiro	やしろ
yasu	やす
yato	やと
yawa	やわ
yawaragu	やわらぐ
yaya	やや
yo	よ
yodo	よど
yoi	よい
yoko	よこ
yokoito	よこいと
yokoshi	よこし
yokotaeru	よこたえる
yokotawaru	よこたわる
yoku	よく
yome	よめ
