# code	word	freq	source	class_hint
dundun	顿顿	18831	digested	unknown
jianjian	尖尖	18819	digested	adj_redup
chouchou	丑丑	18790	digested	unknown
jinjin	斤斤	18790	digested	unknown
hunhun	浑浑	18764	digested	unknown
pengpeng	鹏鹏	18761	digested	name
dandan	旦旦	18760	digested	unknown
xuanxuan	轩轩	18756	digested	unknown
haihai	嗨嗨	18754	digested	onomatopoeia
tiaotiao	迢迢	18753	digested	unknown
bubu	布布	18730	digested	unknown
sousou	飕飕	18725	digested	unknown
tutu	突突	18723	digested	unknown
mimi	迷迷	18707	digested	unknown
baibai	摆摆	18678	digested	verb_redup
lvlv	绿绿	18677	digested	unknown
mimi	咪咪	18661	digested	name
peipei	佩佩	18633	digested	unknown
doudou	逗逗	18609	digested	unknown
ruirui	蕊蕊	18597	digested	unknown
angang	昂昂	18586	digested	unknown
lili	理理	18579	digested	unknown
linlin	琳琳	18566	digested	name
didi	嘀嘀	18560	digested	unknown
chunchun	春春	18559	digested	name
junjun	君君	18558	digested	unknown
dingding	钉钉	18541	digested	unknown
houhou	猴猴	18531	digested	unknown
menmen	闷闷	18524	digested	unknown
huaihuai	坏坏	18523	digested	unknown
sisi	四四	18509	digested	unknown
qiqi	期期	18495	digested	unknown
ranran	冉冉	18490	digested	unknown
jiejie	节节	18469	digested	unknown
cuocuo	搓搓	18465	digested	unknown
juju	居居	18461	digested	unknown
niuniu	牛牛	18449	digested	name
yuanyuan	媛媛	18443	digested	name
yiyi	奕奕	18424	digested	unknown
guoguo	锅锅	18421	digested	unknown
jinjin	进进	18410	digested	unknown
congcong	葱葱	18391	digested	unknown
momo	陌陌	18391	digested	unknown
shuashua	耍耍	18370	digested	unknown
tuotuo	脱脱	18368	digested	unknown
mingming	冥冥	18366	digested	unknown
yangyang	烊烊	18309	digested	unknown
lanlan	懒懒	18303	digested	unknown
guoguo	蝈蝈	18295	digested	unknown
yaya	鸭鸭	18287	digested	unknown
lianlian	恋恋	18284	digested	unknown
shanshan	杉杉	18284	digested	unknown
huanhuan	环环	18254	digested	unknown
zaza	咋咋	18252	digested	unknown
chichi	痴痴	18237	digested	unknown
huanghuang	慌慌	18231	digested	unknown
kaikai	恺恺	18225	digested	unknown
kaikai	楷楷	18188	digested	unknown
mama	骂骂	18180	digested	verb_redup
kuankuan	款款	18173	digested	unknown
bibi	笔笔	18166	digested	unknown
mimi	米米	18163	digested	unknown
nannan	囡囡	18160	digested	name
ququ	曲曲	18148	digested	unknown
bibi	哔哔	18137	digested	unknown
sisi	斯斯	18136	digested	unknown
cangcang	苍苍	18101	digested	unknown
gege	歌歌	18096	digested	unknown
lvlv	屡屡	18059	digested	unknown
jianjian	剪剪	18054	digested	unknown
baba	叭叭	18032	digested	unknown
niuniu	扭扭	18018	digested	unknown
pinpin	品品	18017	digested	unknown
nannan	楠楠	18013	digested	name
dingding	顶顶	18011	digested	unknown
zhaozhao	爪爪	17999	digested	unknown
zhaozhua	爪爪	17999	digested	unknown
zhuazhao	爪爪	17999	digested	unknown
zhuazhua	爪爪	17999	digested	unknown
pengpeng	蓬蓬	17998	digested	unknown
changchang	唱唱	17995	digested	unknown
tutu	吐吐	17973	digested	unknown
bengbeng	蹦蹦	17961	digested	unknown
jiji	基基	17959	digested	unknown
zhanzhan	站站	17954	digested	unknown
zizi	孜孜	17944	digested	unknown
zhuzhu	珠珠	17936	digested	unknown
shishi	师师	17918	digested	unknown
banban	板板	17883	digested	unknown
maimai	麦麦	17876	digested	unknown
paipai	牌牌	17856	digested	unknown
dudu	肚肚	17850	digested	unknown
pingping	瓶瓶	17836	digested	unknown
haihai	海海	17834	digested	unknown
daodao	刀刀	17826	digested	unknown
kengkeng	坑坑	17822	digested	unknown
tata	塔塔	17818	digested	unknown
juanjuan	娟娟	17794	digested	name
momo	馍馍	17790	digested	unknown
duidui	堆堆	17771	digested	unknown
gougou	勾勾	17756	digested	unknown
piaopiao	票票	17749	digested	unknown
minmin	敏敏	17742	digested	unknown
xixi	希希	17739	digested	unknown
qiuqiu	秋秋	17737	digested	unknown
nuonuo	诺诺	17699	digested	unknown
sasa	撒撒	17685	digested	unknown
yaoyao	妖妖	17644	digested	unknown
beibei	杯杯	17622	digested	unknown
wawa	蛙蛙	17621	digested	unknown
aiai	皑皑	17619	digested	unknown
guanguan	罐罐	17602	digested	unknown
tuotuo	坨坨	17575	digested	unknown
dada	达达	17567	digested	unknown
jiaojiao	角角	17564	digested	unknown
yueyue	悦悦	17556	digested	unknown
zuzu	组组	17552	digested	unknown
miaomiao	苗苗	17548	digested	unknown
diandian	店店	17541	digested	unknown
zhengzheng	铮铮	17537	digested	unknown
haohao	昊昊	17535	digested	name
leilei	磊磊	17531	digested	unknown
juju	巨巨	17526	digested	unknown
wenwen	雯雯	17525	digested	name
tiantian	舔舔	17520	digested	unknown
fangfang	放放	17519	digested	verb_redup
baba	霸霸	17513	digested	unknown
nongnong	弄弄	17509	digested	unknown
yangyang	扬扬	17503	digested	unknown
weiwei	娓娓	17486	digested	unknown
shasha	杀杀	17484	digested	unknown
qiangqiang	强强	17482	digested	name
loulou	楼楼	17480	digested	unknown
jiongjiong	炯炯	17479	digested	unknown
jiajia	嘉嘉	17435	digested	unknown
yanyan	言言	17388	digested	unknown
zizi	子子	17388	digested	unknown
lulu	噜噜	17373	digested	unknown
xiaoxiao	萧萧	17364	digested	unknown
wenwen	闻闻	17355	digested	unknown
pingping	萍萍	17353	digested	unknown
songsong	送送	17320	digested	verb_redup
mengmeng	朦朦	17310	digested	unknown
jingjing	靓靓	17283	digested	unknown
wangwang	望望	17275	digested	unknown
menmen	门门	17260	digested	unknown
lulu	鹿鹿	17256	digested	unknown
yanyan	艳艳	17245	digested	unknown
huihui	慧慧	17227	digested	unknown
tutu	土土	17222	digested	unknown
hanghang	航航	17210	digested	unknown
tuitui	腿腿	17203	digested	unknown
xiongxiong	汹汹	17195	digested	unknown
qiqi	戚戚	17176	digested	unknown
yunyun	芸芸	17172	digested	unknown
tingting	亭亭	17169	digested	unknown
zhengzheng	蒸蒸	17164	digested	unknown
yangyang	阳阳	17161	digested	name
liangliang	两两	17145	digested	unknown
doudou	抖抖	17135	digested	unknown
tiantian	田田	17133	digested	unknown
beibei	蓓蓓	17132	digested	unknown
