# code	trad	simp_peer	layer	freq
qmcy	鈠	𨱁	0	0
qmee	鏰	镚	0	0
qmg	鈾	铀	3	21088
qmgk	銅	铜	0	26898
qmjh	鍘	铡	0	9616
qmkg	鉛	铅	0	20929
qmu	負	负	3	32233
qmwy	鈉	钠	0	18396
qmy	鋇	钡	3	10840
qmyy	釩	钒	0	9796
qnbm	𨧱	𨱊	0	0
qndg	鋸	锯	0	18806
qnfg	鈕	钮	0	20270
qnfy	𨫒	𨱐	0	0
qng	𨦫	䦀	0	0
qnhg	鎇	镅	0	7525
qnn	釓	钆	3	9010
qnn	釔	钇	3	16245
qnnk	鋦	锔	0	17577
qntt	鉍	铋	0	12590
qnwe	鏐	镠	0	14319
qnxn	鈮	铌	0	16758
qogy	鏷	镤	0	10573
qooy	錟	锬	0	0
qoqh	鏻	𬭸	0	0
qoy	鈥	钬	3	5961
qpdc	鋐	𬭎	0	13209
qpey	鎵	镓	0	9796
qpgh	錠	锭	0	13919
qpvg	銨	铵	0	15728
qpwi	鑔	镲	0	0
qpwk	鎔	镕	0	12102
qpxn	鉈	铊	0	15515
qqcn	銫	铯	0	13271
qqcy	鈎	钩	0	17175
qqeh	𨮂	𨱕	0	0
qqkg	銘	铭	0	24286
qqky	鑱	镵	0	0
qqnn	鉋	铇	0	0
qqrn	鍃	锪	0	0
qqtb	鉚	铆	0	11203
qqug	鈞	钧	0	21384
qqvh	錚	铮	0	15577
qqwy	欽	钦	0	24118
qqyl	鎦	镏	0	6474
qqyy	釣	钓	0	22877
qrcy	鈑	钣	0	8267
qrcy	鈲	𨱃	0	0
qrg	鉑	铂	3	18875
qrgg	鍠	锽	0	7978
qrh	釿	𬬱	3	10432
qriy	銖	铢	0	15577
qrmh	錦	锦	0	26571
qrqw	鍁	锨	0	0
qsfg	𨧀	𬭊	0	0
qsfi	鏢	镖	0	18092
qsgg	鉢	钵	0	14408
qsh	釘	钉	3	21471
qsjh	鐔	镡	0	8533
qskg	鈳	钶	0	10432
qsyy	鉥	𬬸	0	0
qtbi	猻	狲	0	0
qtdg	銛	铦	0	6474
qtdh	鋒	锋	0	26269
qten	銹	锈	0	13677
qtfc	銩	铥	0	14495
qtfh	釺	钎	0	0
qtfk	鋯	锆	0	10129
qtfp	鋌	铤	0	13271
qtfq	銑	铣	0	12102
qtfv	鍤	锸	0	0
qtgf	錘	锤	0	18588
qtgm	獺	獭	0	11086
qths	鎳	镍	0	19704
qtkg	鉻	铬	0	14620
qtmt	䥩	𨱖	0	0
qtmy	狽	狈	0	17106
qtnn	釳	𨰿	0	0
qtol	鐇	𫔍	0	0
qtoy	鍬	锹	0	7978
qtps	獰	狞	0	8533
qtrt	鋨	锇	0	15983
qtyd	獄	狱	0	27694
qudb	錈	锩	0	0
qudk	鐥	䦅	0	0
quep	鐩	𬭼	0	0
qufh	鈄	钭	0	0
quga	鐦	锎	0	0
qugd	鎂	镁	0	16168
qugi	鑭	镧	0	15288
quh	鋅	锌	3	17790
qujg	鐧	锏	0	10965
qujn	鐿	镱	0	15220
qujq	鏡	镜	0	28380
qukg	錇	锫	0	17644
qukq	鋭	锐	0	10284
qumd	鏑	镝	0	15786
qumt	䥕	𬭯	0	0
quoj	鐠	镨	0	0
qupy	鎊	镑	0	21243
quqy	鉸	铰	0	13146
qusf	鐏	𨱔	0	6070
quwl	鎰	镒	0	10709
quxt	銻	锑	0	10129
quxx	鎡	镃	0	0
qvey	銀	银	0	30745
qvfp	鍵	键	0	27445
qvg	釹	钕	3	9967
qvhc	鎪	锼	0	0
qvkg	鉊	𬬿	0	0
qvkg	銣	铷	0	15452
qvlg	錙	锱	0	6474
qvln	鑞	镴	0	0
qvpc	鋟	锓	0	0
qwcn	鎓	𬭩	0	0
qwdc	鍛	锻	0	19823
qwet	鉁	𨱅	0	0
qwgg	銓	铨	0	16603
qwgj	鍮	𨱎	0	0
qwgk	鉿	铪	0	9224
qwgr	鎿	镎	0	9796
qwgu	鐙	镫	0	9010
qwnd	鍭	𬭤	0	0
qwwf	銼	锉	0	9465
qwxn	鈋	𨱂	0	0
qwyc	鈴	铃	0	22239
qwye	鎸	镌	0	0
qwyg	錐	锥	0	19333
qwyn	鈐	钤	0	9616
qwyo	鐎	𨱓	0	0
qxfm	鏆	𨱌	0	0
qxgu	鉧	𬭁	0	0
qxjm	鐨	镄	0	13784
qxkj	鏹	镪	0	7310
qxxr	鍇	锴	0	7978
qyac	鍍	镀	0	17404
qybg	錞	𬭚	0	0
qybt	鐓	镦	0	0
qycq	銃	铳	0	14971
qycq	鋶	锍	0	0
qyey	銥	铱	0	17106
qyey	鎄	锿	0	0
qyiy	鍄	𨱉	0	0
qyke	鑲	镶	0	18770
qymh	鈰	铈	0	10840
qymk	鎬	镐	0	16275
qymn	鈧	钪	0	0
qyn	鈁	钫	3	13509
qynn	䥇	䦂	0	0
qyno	鑣	镳	0	16245
qytd	鏃	镞	0	11316
qyuo	鐮	镰	0	15668
qyvb	鎯	𨱍	0	6474
qyve	鋃	锒	0	10129
qyvh	鏞	镛	0	12273
qyvm	貿	贸	0	28291
qyxy	鉉	铉	0	16762
rdmy	頎	颀	0	12188
rfkm	擷	撷	0	15185
rfwl	攆	撵	0	9426
rgmy	皟	𤾀	0	0
rhal	擄	掳	0	19031
rhan	攄	摅	0	7310
rkmy	損	损	0	30072
rmmv	攖	撄	0	6474
rngg	揯	搄	0	0
rngg	氬	氩	0	11530
rplh	揮	挥	0	28750
rqcl	𩴵	𩴌	0	0
rqmd	換	换	0	30751
rqqw	撳	揿	0	14087
rtfm	攢	攒	0	14135
rutk	擱	搁	0	21112
rxfm	摜	掼	0	0
sbde	橢	椭	0	19383
sdmy	頂	顶	0	29065
sgkm	𨣈	𨡺	0	0
sgye	釀	酿	0	22751
shmy	楨	桢	0	17526
slpy	槤	梿	0	7661
smmv	櫻	樱	0	21169
smu	賈	贾	3	25548
sqsc	樧	榝	0	0
sqve	檭	𣘴	0	0
ssfm	䫴	𩖗	0	0
ssmy	檟	槚	0	0
sukg	𣙎	㭣	0	0
sukk	櫚	榈	0	18538
sxxe	櫞	橼	0	0
syfj	櫧	槠	0	7310
tamu	篢	𬕂	0	0
tfne	𣯶	毶	0	0
tfnf	𣯴	𣭤	0	0
tfnj	氌	氇	0	0
tfpm	頲	颋	0	0
tfqb	酇	酂	0	0
tfqm	贊	赞	0	26168
tgkm	籟	籁	0	13392
tgmu	簀	箦	0	0
tkhm	簣	篑	0	12738
tkhm	𥢢	䅪	0	0
tkmu	篔	筼	0	7310
tmdm	頽	颓	0	0
tqfh	銜	衔	0	23705
tujf	簡	简	0	30290
uakg	閾	阈	0	9616
uawk	𨶀	𨸉	0	0
ubd	聞	闻	3	31160
ubd	𨳕	𨸀	0	0
uciu	㵗	𣳆	0	0
udci	閎	闳	0	12948
udd	閆	闫	3	15354
udjn	閹	阉	0	16010
uepc	閿	阌	0	0
ufcl	闔	阖	0	15872
uffd	閨	闺	0	16692
ufhm	癲	癫	0	18576
ufhw	闐	阗	0	11828
ufk	閈	闬	3	0
ufpu	𨶮	𨸌	0	0
ufte	閉	闭	0	30307
uftj	闍	阇	0	16441
ugcf	𨴗	𨸅	0	0
ugd	閂	闩	3	15321
ugd	閏	闰	3	18409
ugkl	𨵩	𨸆	0	0
ugkm	癩	癞	0	9010
ugli	闌	阑	0	12355
uhdi	闃	阒	0	0
uitd	闊	阔	0	25204
uiy	𡮉	𡭜	0	0
ujd	間	间	3	37773
uji	閩	闽	3	24763
ujjd	閶	阊	0	8533
ujnd	闒	阘	0	0
ujtm	贛	赣	0	20420
ujtn	戇	戆	0	7310
ukd	問	问	3	34765
ukhm	闠	阓	0	0
ukkd	閭	闾	0	15185
ukmi	𤸫	𤶧	0	0
ulge	闤	阛	0	0
ulk	閘	闸	3	23296
ulsi	閫	阃	0	0
ummv	癭	瘿	0	7310
unbt	闞	阚	0	9010
uni	悶	闷	3	21204
uqaj	閽	阍	0	7661
uqmd	瘓	痪	0	19412
uqvd	閻	阎	0	18621
uqvh	䦛	䦶	0	0
uqwm	資	资	0	35718
urmw	𨶏	𨸊	0	0
usfd	闉	𬮱	0	0
usi	閑	闲	3	16906
