# code	trad	simp_form	layer	freq
iogf	濧	㳔	0	0
iooi	瀠	潆	0	0
iool	澇	涝	0	14038
ioos	濚	溁	0	0
iooy	瀅	滢	0	14896
ipgm	濱	滨	0	26184
ipkj	劏	㓥	0	17742
ipkj	嘗	尝	0	26432
ipkl	當	当	0	37981
ipko	黨	党	0	34064
ipns	濘	泞	0	12879
iptl	瀋	沈	0	17313
ipvo	瀉	泻	0	22891
iqcy	沒	没	0	35649
iqoj	瀂	澛	0	0
iqoy	漁	渔	0	25624
iqqb	洶	汹	0	19085
iqwl	盜	盗	0	26177
iqyj	瀏	浏	0	22740
irlo	潕	𣲘	0	0
iryy	泝	溯	0	7310
isww	淶	涞	0	0
itdk	𣾷	㳢	0	0
itfm	灒	𪷽	0	0
itvh	潷	滗	0	0
iued	瀧	泷	0	15815
iuft	𡮣	𡭬	0	0
iuke	滾	滚	0	24153
iuqm	澬	𫞚	0	0
iutg	滻	浐	0	0
iuuw	灍	𫞝	0	0
iuyy	潣	𫞗	0	0
ivaf	潯	浔	0	13392
ivfg	澅	𣶩	0	0
ivfj	潚	㴋	0	0
ivhl	濜	浕	0	0
iweo	鶺	鹡	0	0
iwga	淪	沦	0	21916
iwgj	澮	浍	0	7310
iwhs	滌	涤	0	14971
iwkq	涗	涚	0	0
iwnh	溮	浉	0	0
iwtf	塗	涂	0	24480
iwtt	漵	溆	0	5961
iwxc	潑	泼	0	21492
iwyf	準	准	0	32265
iwyk	滄	沧	0	17526
ixde	漲	涨	0	26250
ixg	澠	渑	3	9616
ixgi	淥	渌	0	6474
ixgq	瀰	弥	0	18302
ixrs	濼	泺	0	10129
ixys	灤	滦	0	10709
ixyt	𤅶	𣷷	0	0
ixyx	灣	湾	0	34665
iyaw	瀇	㲿	0	0
iyby	灕	漓	0	8267
iyfj	㶆	𫞛	0	0
iyiy	涼	凉	0	24334
iyjg	濟	济	0	32947
iync	滬	沪	0	21117
iynd	淚	泪	0	23882
iyto	溈	沩	0	6474
jafk	畢	毕	0	28418
jagf	曄	晔	0	16625
jamy	蟎	螨	0	6918
jaqh	螮	䗖	0	10129
javh	蠨	蟏	0	0
jbkg	蟶	蛏	0	0
jcy	螞	蚂	3	20950
jday	蠣	蛎	0	10709
jdey	䗅	𫊪	0	0
jdfo	鷐	𫜀	0	0
jdwj	𧎈	𧌥	0	0
